Date,Client,Order Quantity,Material
2020/1/6,c5,84,12042081
2020/1/6,c5,187,11000858
2020/1/6,c5,198,11000851
2020/1/6,c5,315,12322779
2020/1/6,c5,198,11000858
2020/1/6,c2,1050,12322779
2020/1/6,c2,210,12395525
2020/1/6,c2,432,12293783
2020/1/6,c2,264,12271469
2020/1/6,c1,104,12246740
2020/1/6,c5,42,12042081
2020/1/6,c5,198,11000858
2020/1/6,c5,220,11000851
2020/1/6,c5,42,12042081
2020/1/6,c5,48,12222902
2020/1/6,c5,88,11000851
2020/1/6,c5,99,11000858
2020/1/6,c5,126,12042081
2020/1/6,c5,330,11000858
2020/1/6,c5,440,11000851
2020/1/6,c5,216,12293783
2020/1/6,c5,525,12322779
2020/1/6,c1,60,12404641
2020/1/6,c3,75,12322779
2020/1/6,c3,216,12293783
2020/1/6,c3,132,12271469
2020/1/6,c3,294,12395525
2020/1/6,c3,80,12293768
2020/1/6,c1,420,12395525
2020/1/6,c1,132,12271469
2020/1/6,c1,108,12293783
2020/1/6,c1,40,12293768
2020/1/6,c1,104,12246740
2020/1/7,c3,11,11000858
2020/1/7,c4,112,12396696
2020/1/7,c1,97,12404641
2020/1/7,c1,104,12246740
2020/1/7,c2,80,12293768
2020/1/7,c2,98,12404641
2020/1/7,c1,104,12246740
2020/1/7,c1,210,12395525
2020/1/7,c1,198,12271469
2020/1/7,c1,108,12293783
2020/1/7,c2,210,12395525
2020/1/7,c2,216,12293783
2020/1/7,c2,98,12404641
2020/1/7,c2,80,12293768
2020/1/7,c2,208,12246740
2020/1/7,c4,224,12396696
2020/1/7,c2,42,12395525
2020/1/7,c2,132,12271469
2020/1/7,c2,60,12322779
2020/1/7,c2,90,12293783
2020/1/7,c4,198,12365978
2020/1/7,c10,396,12271469
2020/1/7,c10,54,12293783
2020/1/7,c10,160,12293768
2020/1/7,c3,63,12042081
2020/1/7,c3,110,11000851
2020/1/7,c3,63,11001186
2020/1/7,c3,110,11000851
2020/1/7,c3,63,11001186
2020/1/7,c4,990,12365978
2020/1/7,c1,12,12404641
2020/1/7,c10,180,12322779
2020/1/7,c10,264,12271469
2020/1/7,c10,80,12293768
2020/1/7,c1,144,12222902
2020/1/7,c1,126,11001186
2020/1/7,c6,392,12404641
2020/1/7,c3,144,12222902
2020/1/7,c4,420,12396696
2020/1/7,c3,60,12322779
2020/1/7,c5,126,12042081
2020/1/7,c5,99,11000858
2020/1/7,c5,110,11000851
2020/1/7,c4,644,12396696
2020/1/7,c1,132,12320619
2020/1/7,c1,132,12320670
2020/1/7,c1,132,12320618
2020/1/7,c5,48,12222902
2020/1/7,c4,28,12396696
2020/1/7,c1,132,12320670
2020/1/7,c1,132,12320618
2020/1/7,c1,97,12404641
2020/1/7,c2,252,12042081
2020/1/7,c2,252,11001186
2020/1/7,c2,220,11000851
2020/1/7,c2,99,11000858
2020/1/7,c1,252,12395525
2020/1/7,c1,66,12271469
2020/1/7,c1,108,12293783
2020/1/7,c2,144,12222902
2020/1/7,c4,1232,12396696
2020/1/7,c4,1036,12396696
2020/1/7,c1,48,12222902
2020/1/7,c6,48,12222902
2020/1/7,c4,84,12396696
2020/1/7,c3,99,11000851
2020/1/7,c4,396,12365978
2020/1/7,c4,280,12396696
2020/1/8,c2,104,12246740
2020/1/8,c7,110,11000851
2020/1/8,c7,48,12222902
2020/1/8,c5,216,12293783
2020/1/8,c5,630,12322779
2020/1/8,c4,784,12396696
2020/1/8,c5,315,12322779
2020/1/8,c1,137,12404641
2020/1/8,c7,660,12320618
2020/1/8,c7,660,12320670
2020/1/8,c7,660,12320619
2020/1/8,c3,96,12222902
2020/1/8,c1,210,12395525
2020/1/8,c1,132,12271469
2020/1/8,c1,108,12293783
2020/1/8,c1,80,12293768
2020/1/8,c1,252,12395525
2020/1/8,c1,264,12271469
2020/1/8,c1,105,12322779
2020/1/8,c1,216,12293783
2020/1/8,c1,70,12293768
2020/1/8,c5,120,12322779
2020/1/8,c5,396,12271469
2020/1/8,c1,208,12246740
2020/1/8,c5,42,12042081
2020/1/8,c5,48,12222902
2020/1/8,c5,294,12404641
2020/1/8,c5,112,12404641
2020/1/9,c2,154,12320670
2020/1/9,c2,220,12320619
2020/1/9,c2,132,12320618
2020/1/9,c7,420,12322779
2020/1/9,c4,990,12365978
2020/1/9,c3,20,12293768
2020/1/9,c3,98,12404641
2020/1/9,c6,48,12222902
2020/1/9,c5,126,12042081
2020/1/9,c5,96,12222902
2020/1/9,c4,252,12321896
2020/1/9,c4,252,12321895
2020/1/9,c4,594,12365978
2020/1/9,c4,594,12365978
2020/1/9,c3,168,12395525
2020/1/9,c3,264,12271469
2020/1/9,c3,216,12293783
2020/1/9,c3,240,12322779
2020/1/9,c3,70,12293768
2020/1/9,c5,216,12293783
2020/1/9,c7,66,12271469
2020/1/9,c7,108,12293783
2020/1/9,c7,120,12322779
2020/1/9,c4,28,12396696
2020/1/9,c5,294,12404641
2020/1/9,c6,21,12042081
2020/1/9,c6,144,12222902
2020/1/10,c7,150,12404641
2020/1/10,c7,55,12271469
2020/1/10,c5,294,12404641
2020/1/10,c7,440,12320618
2020/1/10,c7,330,12320670
2020/1/10,c7,550,12320619
2020/1/10,c7,198,12320618
2020/1/10,c7,220,12320670
2020/1/10,c7,198,12320619
2020/1/10,c2,196,12404641
2020/1/10,c2,80,12293768
2020/1/10,c1,252,12395525
2020/1/10,c1,66,12271469
2020/1/10,c1,216,12293783
2020/1/10,c1,40,12293768
